       z      mass      cnfw      a      b
       2.0000000       1.9090911       4.5451050       4.5804472       2.0121912
       2.0000000       2.2121212       4.3234682       4.3616691       1.6363571
       2.0000000       2.5151532       4.1081748       4.1492562       1.3150746
       2.0000000       2.8181832       3.9001553       3.9440162       1.0433789
       2.0000000       3.1212132       3.7006068       3.7462106      0.81633607
       2.0000000       3.4242432       3.5096359       3.5569229      0.62908627
       2.0000000       3.7272732       3.3284893       3.3772979      0.47688239
       2.0000000       4.0303030       3.1581964       3.2069867      0.35513282
       2.0000000       4.3333349       2.9992521       3.0479372      0.25944587
       2.0000000       4.6363649       2.8519790       2.8997884      0.18567726
       2.0000000       4.9393950       2.7171526       2.7637343      0.12996586
       2.0000000       5.2424250       2.5949562       2.6397429     0.088791774
       2.0000000       5.5454550       2.4854236       2.5279672     0.059085802
       2.0000000       5.8484850       2.3879936       2.4283791     0.038257293
       2.0000000       6.1515150       2.3024433       2.3404331     0.024073084
       3.0000000      -23.848484       15.544796       15.837126       415.49615
       3.0000000      -23.545454       15.544796       15.837126       405.75423
       3.0000000      -23.242424       15.544796       15.837126       396.01232
       3.0000000      -22.939394       15.544796       15.837126       386.27040
       3.0000000      -22.636362       15.544796       15.837126       376.52842
       3.0000000      -22.333332       15.544796       15.837126       366.78650
       3.0000000      -22.030302       15.544796       15.837126       357.04459
       3.0000000      -21.727272       15.544796       15.837126       347.30267
       3.0000000      -21.424242       15.536111       15.827816       337.61883
       3.0000000      -21.121212       15.506031       15.795589       328.08042
       3.0000000      -20.818180       15.455294       15.741162       318.68771
       3.0000000      -20.515150       15.379762       15.660611       309.44094
       3.0000000      -20.212120       15.283813       15.557800       300.34034
       3.0000000      -19.909090       15.165343       15.430944       291.38607
       3.0000000      -19.606060       15.040872       15.298113       282.57822
       3.0000000      -19.303030       14.914507       15.164214       273.91695
       3.0000000      -19.000000       14.787190       15.029180       265.40242
       3.0000000      -18.696968       14.658886       14.893023       257.03459
       3.0000000      -18.393938       14.529565       14.755732       248.81361
       3.0000000      -18.090908       14.399192       14.617310       240.73946
       3.0000000      -17.787878       14.267733       14.477755       232.81216
       3.0000000      -17.484848       14.135204       14.337119       225.03165
       3.0000000      -17.181816       14.001608       14.195440       217.39778
       3.0000000      -16.878788       13.866947       14.052747       209.91069
       3.0000000      -16.575756       13.731256       13.909114       202.57001
       3.0000000      -16.272726       13.594580       13.764626       195.37571
       3.0000000      -15.969697       13.456424       13.619363       188.32759
       3.0000000      -15.666667       13.316485       13.473411       181.42540
       3.0000000      -15.363636       13.175588       13.325725       174.66887
       3.0000000      -15.060606       13.033823       13.176406       168.05774
       3.0000000      -14.757576       12.891294       13.026623       161.59167
       3.0000000      -14.454545       12.748118       12.876515       155.27033
       3.0000000      -14.151515       12.602809       12.725117       149.09332
       3.0000000      -13.848485       12.456043       12.571674       143.06019
       3.0000000      -13.545454       12.308951       12.418323       137.17046
       3.0000000      -13.242424       12.161456       12.264128       131.42370
       3.0000000      -12.939394       12.010798       12.107715       125.81930
       3.0000000      -12.636363       11.860306       11.951951       120.35668
       3.0000000      -12.333333       11.708854       11.793656       115.03525
       3.0000000      -12.030303       11.555251       11.635498       109.85433
       3.0000000      -11.727273       11.402301       11.475692       104.81323
       3.0000000      -11.424242       11.245964       11.315651       99.911173
       3.0000000      -11.121212       11.090748       11.153791       95.147407
       3.0000000      -10.818182       10.932271       10.992558       90.521084
       3.0000000      -10.515151       10.774271       10.828336       86.031302
       3.0000000      -10.212121       10.614476       10.664440       81.677178
       3.0000000      -9.9090910       10.453465       10.500152       77.457725
       3.0000000      -9.6060600       10.292315       10.333557       73.371910
       3.0000000      -9.3030300       10.129404       10.166739       69.418704
       3.0000000      -9.0000000       9.9650631       9.9994745       65.596982
       3.0000000      -8.6969690       9.8001099       9.8315754       61.905565
       3.0000000      -8.3939390       9.6343546       9.6626587       58.343258
       3.0000000      -8.0909090       9.4676456       9.4924803       54.908793
